Time,Asteroid,VelocityX,VelocityY,VelocityZ
2025-04-11 10:46:37.436,28,-6.573023,11.24335,5.638784
2025-04-11 10:46:37.436,37,2.426867,23.58999,-7.929225
2025-04-11 10:46:37.454,9,-0.5057392,-14.78865,-0.7462003
2025-04-11 10:46:37.455,23,2.612778,-19.15297,-3.952015
2025-04-11 10:46:37.456,28,-6.579473,11.24357,5.629817
2025-04-11 10:46:37.457,37,2.426839,23.59224,-7.941997
2025-04-11 10:46:37.471,9,-0.5035821,-14.79316,-0.7606974
2025-04-11 10:46:37.472,23,2.610988,-19.15619,-3.963419
2025-04-11 10:46:37.473,28,-6.585906,11.24377,5.620841
2025-04-11 10:46:37.474,37,2.426804,23.59443,-7.954849
2025-04-11 10:46:37.487,9,-0.5024999,-14.7954,-0.7679651
2025-04-11 10:46:37.488,23,2.610087,-19.15779,-3.969141
2025-04-11 10:46:37.489,28,-6.589116,11.24386,5.616349
2025-04-11 10:46:37.490,37,2.426783,23.59551,-7.961305
2025-04-11 10:46:37.503,9,-0.5003279,-14.79985,-0.7825384
2025-04-11 10:46:37.504,23,2.608271,-19.16097,-3.980624
2025-04-11 10:46:37.505,28,-6.595523,11.24401,5.607357
2025-04-11 10:46:37.506,37,2.426736,23.59763,-7.974277
2025-04-11 10:46:37.521,9,-0.4981461,-14.80426,-0.7971622
2025-04-11 10:46:37.522,23,2.606439,-19.16411,-3.992162
2025-04-11 10:46:37.524,28,-6.601912,11.24414,5.598356
2025-04-11 10:46:37.524,37,2.426682,23.59969,-7.987329
2025-04-11 10:46:37.536,9,-0.4970514,-14.80644,-0.804493
2025-04-11 10:46:37.537,23,2.605516,-19.16567,-3.99795
2025-04-11 10:46:37.538,28,-6.6051,11.2442,5.593852
2025-04-11 10:46:37.538,37,2.426652,23.6007,-7.993884
2025-04-11 10:46:37.554,9,-0.4948547,-14.81079,-0.8191922
2025-04-11 10:46:37.555,23,2.603658,-19.16876,-4.009567
2025-04-11 10:46:37.556,28,-6.611462,11.24429,5.584836
2025-04-11 10:46:37.556,37,2.426585,23.60267,-8.007055
2025-04-11 10:46:37.571,9,-0.4926482,-14.8151,-0.8339415
2025-04-11 10:46:37.572,23,2.601783,-19.17182,-4.021237
2025-04-11 10:46:37.572,28,-6.617806,11.24436,5.575812
2025-04-11 10:46:37.573,37,2.426511,23.60459,-8.020306
2025-04-11 10:46:37.587,9,-0.4915412,-14.81723,-0.8413348
2025-04-11 10:46:37.588,23,2.600838,-19.17334,-4.027092
2025-04-11 10:46:37.589,28,-6.620972,11.24438,5.571297
2025-04-11 10:46:37.590,37,2.426471,23.60553,-8.02696
2025-04-11 10:46:37.603,9,-0.4893199,-14.82148,-0.8561589
2025-04-11 10:46:37.604,23,2.598937,-19.17634,-4.038841
2025-04-11 10:46:37.605,28,-6.627289,11.24441,5.562259
2025-04-11 10:46:37.606,37,2.426384,23.60736,-8.040329
2025-04-11 10:46:37.621,9,-0.4870888,-14.82567,-0.8710324
2025-04-11 10:46:37.623,23,2.597018,-19.17931,-4.050642
2025-04-11 10:46:37.624,28,-6.633587,11.24441,5.553213
2025-04-11 10:46:37.624,37,2.426289,23.60913,-8.053777
2025-04-11 10:46:37.637,9,-0.4859695,-14.82776,-0.8784877
2025-04-11 10:46:37.638,23,2.596053,-19.18078,-4.056563
2025-04-11 10:46:37.639,28,-6.63673,11.2444,5.548687
2025-04-11 10:46:37.640,37,2.426238,23.60999,-8.06053
2025-04-11 10:46:37.655,9,-0.4837236,-14.83189,-0.8934352
2025-04-11 10:46:37.657,23,2.594108,-19.18369,-4.068443
2025-04-11 10:46:37.657,28,-6.643,11.24436,5.539629
2025-04-11 10:46:37.659,37,2.426131,23.61167,-8.074094
2025-04-11 10:46:37.671,9,-0.4814679,-14.83598,-0.9084318
2025-04-11 10:46:37.672,23,2.592145,-19.18656,-4.080376
2025-04-11 10:46:37.673,28,-6.649252,11.2443,5.530562
2025-04-11 10:46:37.674,37,2.426014,23.61329,-8.087735
2025-04-11 10:46:37.690,9,-0.4803364,-14.83801,-0.9159485
2025-04-11 10:46:37.692,23,2.591157,-19.18799,-4.086361
2025-04-11 10:46:37.692,28,-6.652371,11.24425,5.526026
2025-04-11 10:46:37.694,37,2.425953,23.61407,-8.094585
2025-04-11 10:46:37.711,9,-0.4780661,-14.84203,-0.9310182
2025-04-11 10:46:37.712,23,2.589169,-19.1908,-4.098372
2025-04-11 10:46:37.713,28,-6.658595,11.24415,5.516948
2025-04-11 10:46:37.713,37,2.425823,23.61559,-8.108343
2025-04-11 10:46:37.727,9,-0.475786,-14.84601,-0.9461363
2025-04-11 10:46:37.728,23,2.587162,-19.19358,-4.110433
2025-04-11 10:46:37.729,28,-6.6648,11.24402,5.507862
2025-04-11 10:46:37.729,37,2.425685,23.61704,-8.122177
2025-04-11 10:46:37.742,9,-0.4746423,-14.84799,-0.9537135
2025-04-11 10:46:37.743,23,2.586152,-19.19496,-4.116483
2025-04-11 10:46:37.744,28,-6.667895,11.24395,5.503316
2025-04-11 10:46:37.744,37,2.425612,23.61774,-8.129123
2025-04-11 10:46:37.762,9,-0.4723476,-14.8519,-0.9689038
2025-04-11 10:46:37.763,23,2.584118,-19.19767,-4.128622
2025-04-11 10:46:37.764,28,-6.674071,11.24378,5.49422
2025-04-11 10:46:37.764,37,2.42546,23.61909,-8.143071
2025-04-11 10:46:37.780,9,-0.4700432,-14.85576,-0.9841419
2025-04-11 10:46:37.781,23,2.582067,-19.20035,-4.140812
2025-04-11 10:46:37.781,28,-6.680228,11.24359,5.485116
2025-04-11 10:46:37.782,37,2.425298,23.62038,-8.157094
2025-04-11 10:46:37.798,9,-0.4688873,-14.85767,-0.9917789
2025-04-11 10:46:37.799,23,2.581035,-19.20168,-4.146926
2025-04-11 10:46:37.799,28,-6.683299,11.24348,5.480562
2025-04-11 10:46:37.800,37,2.425214,23.62099,-8.164134
2025-04-11 10:46:37.816,9,-0.4665684,-14.86147,-1.007088
2025-04-11 10:46:37.816,23,2.578956,-19.20429,-4.159193
2025-04-11 10:46:37.817,28,-6.689427,11.24325,5.471448
2025-04-11 10:46:37.819,37,2.425039,23.62217,-8.178269
2025-04-11 10:46:37.835,9,-0.4642398,-14.86522,-1.022445
2025-04-11 10:46:37.837,23,2.57686,-19.20686,-4.17151
2025-04-11 10:46:37.837,28,-6.695536,11.24299,5.462327
2025-04-11 10:46:37.838,37,2.424854,23.62327,-8.192478
2025-04-11 10:46:37.850,9,-0.4630719,-14.86707,-1.030141
2025-04-11 10:46:37.851,23,2.575805,-19.20813,-4.177688
2025-04-11 10:46:37.851,28,-6.698583,11.24285,5.457765
2025-04-11 10:46:37.852,37,2.424758,23.6238,-8.19961
2025-04-11 10:46:37.868,9,-0.4607289,-14.87075,-1.045568
2025-04-11 10:46:37.869,23,2.573681,-19.21064,-4.19008
2025-04-11 10:46:37.870,28,-6.704661,11.24255,5.448636
2025-04-11 10:46:37.870,37,2.424558,23.62479,-8.213927
2025-04-11 10:46:37.891,9,-0.4583763,-14.87437,-1.061041
2025-04-11 10:46:37.893,23,2.57154,-19.21311,-4.202521
2025-04-11 10:46:37.894,28,-6.710721,11.24223,5.4395
2025-04-11 10:46:37.896,33,17.01801,-19.97236,-2.017956
2025-04-11 10:46:37.896,37,2.424349,23.62571,-8.228317
2025-04-11 10:46:37.911,9,-0.4571964,-14.87617,-1.068795
2025-04-11 10:46:37.911,23,2.570462,-19.21433,-4.208761
2025-04-11 10:46:37.913,28,-6.713743,11.24206,5.43493
2025-04-11 10:46:37.913,33,17.02357,-19.97698,-2.030553
2025-04-11 10:46:37.914,37,2.424241,23.62614,-8.235539
2025-04-11 10:46:37.927,9,-0.4548295,-14.87972,-1.084338
2025-04-11 10:46:37.928,23,2.568293,-19.21673,-4.221277
2025-04-11 10:46:37.928,28,-6.719772,11.2417,5.425786
2025-04-11 10:46:37.930,33,17.03469,-19.98616,-2.056017
2025-04-11 10:46:37.930,37,2.424017,23.62695,-8.250037
2025-04-11 10:46:37.944,9,-0.4524531,-14.88322,-1.099926
2025-04-11 10:46:37.945,23,2.566106,-19.21908,-4.233842
2025-04-11 10:46:37.946,28,-6.725781,11.24131,5.416636
2025-04-11 10:46:37.947,33,17.04581,-19.99528,-2.081841
2025-04-11 10:46:37.948,37,2.423782,23.62767,-8.264606
2025-04-11 10:46:37.959,9,-0.4512613,-14.88496,-1.107737
2025-04-11 10:46:37.961,23,2.565006,-19.22024,-4.240143
2025-04-11 10:46:37.962,28,-6.728778,11.24111,5.41206
2025-04-11 10:46:37.963,33,17.05137,-19.99981,-2.094889
2025-04-11 10:46:37.963,37,2.423661,23.62801,-8.271915
2025-04-11 10:46:37.978,9,-0.4488707,-14.88838,-1.123394
2025-04-11 10:46:37.979,23,2.562791,-19.22252,-4.252782
2025-04-11 10:46:37.980,28,-6.734757,11.24069,5.402903
2025-04-11 10:46:37.981,33,17.06247,-20.00882,-2.121259
2025-04-11 10:46:37.981,37,2.423412,23.62861,-8.286587
2025-04-11 10:46:37.994,9,-0.4464706,-14.89176,-1.139095
2025-04-11 10:46:37.996,23,2.560558,-19.22476,-4.265468
2025-04-11 10:46:37.997,28,-6.740716,11.24024,5.393741
2025-04-11 10:46:37.997,33,17.07356,-20.01776,-2.147998
2025-04-11 10:46:37.997,37,2.423152,23.62914,-8.301327
2025-04-11 10:46:38.019,9,-0.4452671,-14.89343,-1.146962
2025-04-11 10:46:38.020,23,2.559434,-19.22587,-4.27183
2025-04-11 10:46:38.021,28,-6.743688,11.24,5.389158
2025-04-11 10:46:38.021,33,17.0791,-20.02219,-2.161506
